CongestionIndex,CoV
1.305246928,0.334238447
1.148197059,0.206165574
1.092832263,0.06988149
1.143423893,0.052217407
2.018297748,0.239007552
2.166986409,0.227080834
1.867932929,0.223613149
2.019600855,0.231958542
1.87724398,0.272656151
2.046834168,0.240516055
1.615459412,0.234361196
1.986896962,0.224520864
1.710947067,0.486106304
1.671151964,0.252866442
1.400968505,0.36717316
1.677996617,0.230644534
1.438197585,0.266203255
1.480828883,0.280613819
1.23656065,0.210814755
1.483190277,0.22364034
1.411378053,0.352097301
1.379275439,0.185256744
1.13677044,0.152885671
1.593189623,0.533183616
1.838553907,0.467272902
1.671587091,0.242888009
1.352631665,0.269656283
2.023980121,0.425216468
2.748166685,0.587180217
2.505824249,0.375548143
1.758879708,0.338189132
3.003543979,0.459358333
1.668634149,0.292766407
1.573268973,0.28450647
1.35099404,0.191337598
1.617474469,0.344462793
1.438294946,0.231056393
1.474136017,0.241908237
1.242385302,0.207842714
1.446098448,0.264879983
1.87610473,0.616057257
2.118645443,0.545055484
1.480643119,0.400651166
2.036358983,0.499237238
1.673210206,0.1775476
1.650059432,0.152773915
1.428128786,0.237659436
1.735922375,0.255882906
1.460371965,0.238590329
1.456169396,0.182289634
1.303815981,0.201766337
1.669542913,0.250859171
1.79409504,0.26660752
1.750198677,0.218803515
1.459117668,0.247423678
1.820558992,0.203548614
1.412145019,0.266932581
1.314581678,0.237300893
1.201605446,0.21362284
1.344435427,0.313717651
1.496713392,0.368330021
1.318641054,0.269164124
1.191002356,0.235203996
1.384729844,0.294583327
1.262769218,0.285273129
1.232794544,0.203801201
1.148608418,0.24771632
1.256478998,0.275943512
1.477497487,0.294358522
1.745283478,0.306581327
1.46250715,0.263948909
2.104160273,0.326018195
1.283721042,0.400585183
1.57748263,0.327631776
1.372562584,0.32420207
1.724042126,0.320059737
1.499829761,0.404324706
1.398190342,0.284552042
1.234154118,0.284870829
1.467773255,0.323387359
1.25406254,0.274240664
1.210445298,0.201555395
1.150005962,0.244662772
1.308506072,0.315962156
1.233112093,0.324515265
1.189539862,0.23504864
1.125659272,0.191862171
1.282671036,0.352329793
2.488796714,0.37988655
1.724722663,0.295238239
1.480957518,0.316895895
1.757606679,0.300580634
1.919061015,0.329189851
1.44446257,0.164329872
1.239797595,0.17819312
1.504673934,0.203542124
1.421407563,0.187148432
1.398891262,0.132716421
1.202066118,0.304989998
1.521374258,0.156016067
1.789479233,0.448817086
2.230709371,0.434797331
1.562153848,0.403031917
2.409347035,0.433378685
2.085469213,0.527446388
1.612116586,0.165947002
1.378566117,0.170264879
1.717036788,0.178510948
2.950073156,0.637246296
1.649824198,0.266046064
1.357369602,0.219838649
1.825759833,0.380127498
1.818811321,0.339300461
2.009737091,0.401592841
1.559749142,0.382641948
1.890113653,0.333899204
1.48727721,0.327795793
1.527013113,0.253603789
1.39793377,0.293397462
1.417332139,0.262619546
1.5146532,0.163340243
1.518240379,0.146822874
1.304897452,0.176322952
1.690613489,0.156727319
1.612701104,0.303474122
1.579473334,0.341431926
1.318904195,0.316706145
1.632816707,0.331010938
1.809455507,0.330960161
1.610862862,0.237794681
1.326322153,0.229178638
1.787188529,0.304610958
1.571635639,0.251348677
1.846807218,0.231007456
1.556919571,0.239210268
1.976585542,0.292736065
1.410747936,0.312734832
1.403705969,0.26941541
1.354445394,0.278920633
1.621638921,0.407762244
1.185882767,0.140220699
1.08770091,0.082776046
1.065891004,0.162141205
1.260120386,0.337593968
1.485765493,0.287189442
1.367891994,0.255845507
1.248323882,0.186370253
1.494342024,0.302938451
1.837824919,0.457831265
1.738412745,0.412784242
1.461664915,0.320183609
1.986147996,0.424444367
1.026133493,0.009821764
1.026997317,0.010708326
1.044078697,0.023440531
1.015565627,0.012452288
1.026133493,0.009821764
1.026997317,0.010708326
1.044078697,0.023440531
1.015565627,0.012452288
0.948151971,0.014748791
0.946134653,0.013232828
0.962328318,0.020443419
0.947829525,0.012944738
1.101422497,0.018969434
1.108732266,0.018613929
1.13086656,0.028861083
1.105748986,0.017292844
1.563116285,0.354498213
1.440834803,0.368390022
1.329415622,0.302320343
1.532910629,0.333958977
1.114312066,0.022252952
1.122125365,0.022388215
1.143927379,0.032007527
1.119127831,0.020761021
1.196736485,0.475792668
1.188079307,0.252198996
1.169465986,0.188527207
1.318087943,0.271019113
1.215255944,0.393281007
1.234552256,0.154073193
1.182445184,0.182761901
1.299816547,0.176361289
1.199389679,0.292988043
1.18620347,0.187309466
1.145192916,0.257951937
1.332333489,0.468180168
1.270634537,0.439414618
1.297283292,0.478776968
1.314700525,0.537310889
2.254645449,0.594665551
2.197154435,0.569278178
2.631621613,0.521025615
2.258191761,0.529656101
3.785034786,0.479712352
1.033994974,0.012080915
1.030394252,0.010423872
1.015232284,0.012576099
1.032075884,0.014413171
1.058136931,0.021016637
1.055725838,0.019834964
1.06254394,0.024158517
